user_list,event_labled,event_referenced,event_mentioned,event_closed,event_event_assignee,event_event_assigner,event_review_requester,event_requested_reviewer
RinozaJiffry,0,0,0,1,0,0,0,0
Rivendile,2,0,2,2,0,0,0,0
River861,1,0,4,2,0,0,0,0
RobertBiehl,0,0,3,0,0,0,0,0
RobertChenKFC,1,0,1,1,0,0,0,0
Roberto7766,1,0,0,0,0,0,0,0
Robird,2,0,2,0,0,0,0,0
RocaVincent,1,0,2,1,0,0,0,0
Rontu22,1,0,1,0,0,0,0,0
RookieZB,1,0,0,1,0,0,0,0
RostyslavUA,1,0,3,0,0,0,0,0
RunChengNi,0,0,1,1,0,0,0,0
Ruomei,1,0,0,0,0,0,0,0
RushilVerma,1,0,1,0,0,0,0,0
Ryan-Rudes,1,0,2,1,0,0,0,0
RylanSchaeffer,1,0,0,1,0,0,0,0
S99amuele,1,0,1,1,0,0,0,0
SANJAY-NT,0,0,2,0,0,0,0,0
SRaent,1,0,0,1,0,0,0,0
Saagarika99,1,0,1,0,0,0,0,0
Saduf2019,1146,0,200,27,745,386,0,0
SageAgastya,1,0,1,0,0,0,0,0
SaiSravaN-Oleti,0,0,1,0,0,0,0,0
SamTov,1,0,0,1,0,0,0,0
SamuelMarks,0,0,1,0,0,0,0,0
Samuelpenner,0,0,0,1,0,0,0,0
SanjuSoni,1,0,1,1,0,0,0,0
Saptr,0,0,3,0,0,0,0,0
SarMesga,1,0,0,0,0,0,0,0
SaschaHeyer,2,0,0,0,0,0,0,0
Sdhir,0,0,1,0,0,0,0,0
SebastianJL,1,0,2,0,0,0,0,0
SennriSyunnga,1,0,3,1,0,0,0,0
Shadowman82,0,0,0,1,0,0,0,0
Shamino0,2,0,0,0,0,0,0,0
ShengYang1,0,0,6,0,0,0,3,0
ShikharJ,2,0,0,2,0,0,0,0
Shion7581,0,0,2,1,0,0,0,0
ShiquanYu,1,0,1,1,0,0,0,0
Shiro-LK,1,0,3,0,0,0,0,0
Shobana1230,1,0,2,0,0,0,0,0
ShrinidhiSS,1,0,1,1,0,0,0,0
